Mode,HACP (h),Total REC Cost (€),Total PV Installed (kW),PV Investment (€),Total BESS Installed (kW),BESS Investment (€)
3,3.4,926.873,93.35383979446479,17.90347612496585,5.099999999998214,1.1178082191776908
3,3.5,927.058,93.35383979446479,17.90347612496585,5.2499999999981615,1.1506849315064462
3,3.6,927.289,93.35383979446479,17.90347612496585,5.399999999998109,1.183561643835202
3,3.7,927.448,93.35424297924298,17.903553448073996,5.549999999998057,1.2164383561639576
3,3.8,927.655,93.35383979446479,17.90347612496585,5.699999999998004,1.2493150684927132
3,3.9,927.855,93.35383979446479,17.90347612496585,5.8499999999979515,1.282191780821469
3,4.0,928.037,93.35424297924298,17.903553448073996,5.9999999999978995,1.3150684931502243
3,4.1,928.263,93.35383979446479,17.90347612496585,6.149999999997846,1.3479452054789798
3,4.2,928.431,93.35383979446479,17.90347612496585,6.2999999999977945,1.3808219178077359
3,4.3,928.681,93.35424297924298,17.903553448073996,6.449999999997742,1.4136986301364916
3,4.4,928.855,93.35383979446479,17.90347612496585,6.59999999999769,1.4465753424652472
3,4.5,929.031,93.35383979446479,17.90347612496585,6.7499999999976374,1.4794520547940024
3,4.6,929.254,93.35383979446479,17.90347612496585,6.8999999999975845,1.512328767122758
3,4.7,929.454,93.35383979446479,17.90347612496585,7.0499999999975325,1.5452054794515138
3,4.8,929.655,93.35383979446479,17.90347612496585,7.199999999997479,1.5780821917802692
3,4.9,929.897,93.35383979446479,17.90347612496585,7.3499999999974275,1.610958904109025
3,5.0,930.055,93.35383979446479,17.90347612496585,7.499999999997373,1.6438356164377805
3,5.1,930.305,91.490575649515,17.546137795797392,7.649999999997321,1.676712328766536
3,5.2,930.502,91.55000849040476,17.557535874872148,7.7999999999972705,1.709589041095292
3,5.3,930.724,91.60944133129453,17.568933953946896,7.949999999997217,1.7424657534240473
3,5.4,930.854,93.35383979446479,17.90347612496585,8.099999999997165,1.7753424657528032
3,5.5,931.097,91.7283070130741,17.5917301120964,8.249999999997112,1.8082191780815584
3,5.6,931.301,91.78773985396386,17.60312819117115,8.399999999997059,1.841095890410314
3,5.7,931.504,91.84686704024334,17.614467651553515,8.549999999997008,1.87397260273907
3,5.8,931.654,93.35383979446479,17.90347612496585,8.699999999996953,1.9068493150678254
3,5.9,931.927,91.96573272202289,17.63726380970302,8.849999999996903,1.9397260273965813
3,6.0,932.139,92.02516556291265,17.648661888777767,8.999999999996843,1.9726027397253354
3,6.1,932.35,92.08459840380243,17.66005996785252,9.14999999999679,2.0054794520540913
3,6.2,932.562,92.1440312446922,17.67145804692727,9.299999999996745,2.038356164382848
3,6.3,932.629,93.35424297924298,17.903553448073993,9.449999999996692,2.0712328767116035
3,6.4,932.853,93.35383979446479,17.90347612496585,9.59999999999664,2.1041095890403594
3,6.5,933.197,92.32232976736152,17.705652284151526,9.749999999996586,2.136986301369115
3,6.6,933.347,93.61617161716173,17.953786337537863,9.899999999996535,2.1698630136978707
3,6.7,933.469,93.35383979446479,17.90347612496585,10.049999999996482,2.202739726026626
3,6.8,933.833,92.50062829003085,17.739846521375775,10.199999999996429,2.2356164383553816
3,6.9,933.95,103.6291793313027,19.874089186825174,10.349999999996378,2.2684931506841375
3,7.0,934.078,95.69671203143989,18.352794088221348,10.499999999996325,2.301369863012893
3,7.1,934.428,101.05685770042065,19.380767230217657,10.649999999996272,2.3342465753416484
3,7.2,934.506,95.69620253161204,18.352696375925596,10.799999999996217,2.367123287670404
3,7.3,934.697,97.02531645566225,18.60759493670235,10.949999999996166,2.3999999999991597
3,7.4,934.943,97.56568627450758,18.711227504700084,11.099999999996113,2.432876712327915
3,7.5,935.243,97.65147058823304,18.727679290894006,11.249999999996062,2.465753424656671
3,7.6,935.323,95.8045576905177,18.37347681735956,11.399999999996009,2.498630136985427
3,7.7,935.633,97.82303921568395,18.76058286328185,11.549999999995954,2.531506849314182
3,7.8,935.931,93.09521141110383,17.85387616103361,11.699999999995905,2.564383561642938
3,7.9,936.15,93.1546951924828,17.86528400951725,11.849999999995852,2.5972602739716937
3,8.0,936.137,99.3997978508352,19.06297493029716,11.999999999995799,2.630136986300449
3,8.1,936.594,93.27356087620817,17.888080168039924,12.149999999995744,2.663013698629204
3,8.2,936.612,98.08593967080239,18.811002128647033,12.299999999995691,2.6958904109579596
3,8.3,936.93,98.33774509803669,18.859293580445396,12.449999999995642,2.728767123286716
3,8.4,936.996,103.98019801980197,19.94140783941408,12.599999999995593,2.761643835615472
3,8.5,937.222,103.98019801980197,19.941407839414076,12.749999999995536,2.794520547944227
3,8.6,937.46,98.5950980392131,18.908648939027167,12.899999999995483,2.827397260272982
3,8.7,937.9,100.15771710174442,19.20832930718386,13.04999999999543,2.860273972601738
3,8.8,937.88,93.68959076243658,17.96786672156318,13.199999999995377,2.8931506849304935
