Mode,HACP (h),Total REC Cost (€),Total PV Installed (kW),PV Investment (€),Total BESS Installed (kW),BESS Investment (€)
3,4.4,920.124,91.39513677811549,17.52783445059749,0.0,0.0
3,4.5,920.149,91.39916824704056,17.528607609021478,0.0068250915750844,0.0014959104822102796
3,4.6,920.118,91.39513677811549,17.52783445059749,0.0,0.0
3,4.7,920.114,91.9485896661308,17.63397610035385,0.0,0.0
3,4.8,920.213,91.28086350809167,17.505919028949084,0.2072136640344345,0.04541669348699934
3,4.9,920.047,95.86129561020937,18.384358062231936,0.0,0.0
3,5.0,920.151,97.8176485809902,18.759549042929624,0.0,0.0
3,5.1,920.155,99.77400155260992,19.1347400237882,0.0,0.0
3,5.2,920.135,101.71749518881325,19.507464830731305,0.0016423143725528,0.00035995931453212054
3,5.3,920.257,103.68670749584953,19.885121985505393,0.0,0.0
3,5.4,920.329,105.36866780788532,20.207689716580745,0.0282439560439101,0.006190456119213172
3,5.5,920.465,110.34220874014576,21.161519484411514,0.0,0.0
3,5.6,920.395,109.55576642098583,21.010694930052075,0.0,0.0
3,5.7,920.548,111.49600030617518,21.382794579266474,0.0017001519756749,0.0003726360494629918
3,5.8,920.933,113.46382550425199,21.760185713144217,0.0003747963063531,8.21471356390356e-05
3,5.9,920.87,113.98966160680905,21.861030993086665,0.1131826734121014,0.024807161295803046
3,6.0,921.021,113.4816247582205,21.763599268699824,0.30986762584186456,0.06791619196534018
3,6.1,921.189,113.48162475822048,21.76359926869982,0.4662604682502905,0.10219407523294037
3,6.2,921.411,113.4816247582205,21.76359926869982,0.6220296990194359,0.13633527649741062
3,6.3,921.62,113.4816247582205,21.763599268699824,0.7777989297885773,0.17047647776187996
3,6.4,921.767,113.26574974828173,21.72219858186225,0.9408581970562896,0.20621549524521415
3,6.5,921.892,113.4816247582205,21.76359926869982,1.0893373913268862,0.23875888029082437
3,6.6,922.215,113.66960028539447,21.799649369801678,1.229538865919368,0.2694879706124642
3,6.7,922.748,113.82502845169691,21.829457511284343,1.3758971313556787,0.3015664945437104
3,6.8,922.546,113.9852282337503,21.860180757157593,1.500509676110063,0.32887883312001376
3,6.9,922.867,119.73737373737373,22.963331949633314,1.2225762169403132,0.2679619105622604
3,7.0,922.914,114.36396165480866,21.932814563935903,1.795110172919019,0.3934488050233466
3,7.1,923.373,114.58670166004276,21.97553182521368,1.9683700769904091,0.4314235785184458
3,7.2,923.303,114.725931517785,22.002233441766982,2.076671016334183,0.45516077070338257
3,7.3,923.747,114.90422359569445,22.03642644300989,2.2153567826508884,0.4855576509919755
3,7.4,923.715,114.69566266508333,21.99642845631735,2.3880474463733785,0.5234076594790966
3,7.5,923.883,115.24463927429085,22.10171164164482,2.480151549787661,0.5435948602274325
3,7.6,924.122,119.73737373737373,22.963331949633314,2.29981738526589,0.5040695638938937
3,7.7,924.333,115.8171511491575,22.21150843956445,2.925484001023235,0.6412019728270103
3,7.8,924.308,115.77662489980119,22.203736282153656,2.8939603684882265,0.6342926835042688
3,7.9,924.775,115.37592810690356,22.126890321871915,3.2801966770508164,0.7189472168878501
3,8.0,924.714,116.14041627921821,22.273504491904863,3.1769380914775853,0.6963151981320734
3,8.1,925.041,116.3155039096631,22.307082941579225,3.3131312554450654,0.7261657546180964
